run_date,asset,strategy,cost_bps,n_folds,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,win_rate,profit_factor,turnover,total_transaction_costs,transaction_cost_pct_of_capital
2026-09-14,SPY,buy_and_hold,5,24,0.12388950612256618,0.16676687705696344,1.0236498740504891,1.42539540480497,-0.14013995703283189,0.5533203924224218,1.2079166036810496,0.004064911508902519,50.0,0.0005000000000000002
2026-09-14,SPY,buy_and_hold,10,24,0.12337774480136628,0.16685932775221654,1.0200489232212249,1.420271862559561,-0.140251960209925,0.5533203924224218,1.2071588346094027,0.004064911508902519,100.0,0.0010000000000000005
2026-09-14,SPY,buy_and_hold,20,24,0.12235424219447337,0.1670499068287247,1.0127948593840228,1.4096795326621805,-0.14047610538166008,0.5529115338855333,1.2056312970284762,0.004064911508902519,200.0,0.002000000000000001
2026-09-14,SPY,momentum_60_day,5,24,0.061091076073171914,0.088036386513674,0.5857650244467786,0.7118816900940536,-0.07376268483931152,0.5510611317085884,1.1730493002129494,0.010056321974644575,122.56311906371859,0.001225631190637186
2026-09-14,SPY,momentum_60_day,10,24,0.059849649972592144,0.08807205286042347,0.5696504587850959,0.698366275303472,-0.07430285755833307,0.5503198095386949,1.1679994270527532,0.010056321974644575,245.02091123462375,0.002450209112346238
2026-09-14,SPY,momentum_60_day,20,24,0.05737000618923054,0.08816726015145436,0.5373895137399168,0.6706325107924593,-0.07538280209306719,0.5475105602529056,1.1580824452121135,0.010056321974644575,489.6207099826798,0.004896207099826798
2026-09-14,SPY,ma_crossover_20_100,5,24,0.05441349999458566,0.08544025790409049,0.6203919236626546,0.7025458535837451,-0.07615085378550135,0.5483336404970048,1.1823892104108775,0.009220980609182727,112.79134911784547,0.0011279134911784548
2026-09-14,SPY,ma_crossover_20_100,10,24,0.0532694111238401,0.08547040629430525,0.6054767200849186,0.6906541854707905,-0.07659449917013558,0.547061082875496,1.1778013281472646,0.009220980609182727,225.50579613170927,0.0022550579613170928
2026-09-15,SPY,ma_crossover_20_100,20,24,0.050701391874374176,0.08554955215756667,0.572323451054937,0.6629041935864753,-0.07753966844244696,0.5433958305019664,1.1677251236315618,0.009219596426514909,450.7040931763054,0.004507040931763055
2026-09-15,SPY,mean_reversion_z,5,24,0.03557816239129263,0.10350505229397476,0.7249904468184544,0.5932156612688985,-0.08374366470933607,0.5419945768100632,1.4755983047878212,0.04567505574889417,571.0362872759966,0.005710362872759965
2026-09-15,SPY,mean_reversion_z,10,24,0.02962395610856032,0.10363454123280998,0.6461794275560763,0.5270467048618471,-0.0845533869976245,0.5333918287425979,1.405754361472372,0.04567505574889417,1139.2275526979654,0.011392275526979653
2026-09-15,SPY,mean_reversion_z,20,24,0.017807914681514696,0.10400551301973576,0.48633144994782024,0.3893407766501369,-0.08645361362734423,0.5143936799046723,1.2881788808947385,0.04567505574889417,2267.124730176709,0.022671247301767086
2026-09-15,SPY,rsi_14,5,24,0.07590242014295276,0.10007983441740588,1.009282223403802,0.7326268141266056,-0.07060187654782943,0.5978730032150738,1.783785739860254,0.022258655996186136,288.1930434324613,0.0028819304343246136
2026-09-15,SPY,rsi_14,10,24,0.07289575915038171,0.10011463081271482,0.9747562339837631,0.7105709391905641,-0.07091513945449858,0.5923571845425972,1.7448418259514316,0.022258655996186136,575.6966734964423,0.005756966734964424
2026-09-15,SPY,rsi_14,20,24,0.0669036099999831,0.10023647028888664,0.9045622826092149,0.6664094780571811,-0.07157290873579204,0.5789192034554839,1.6679224080630008,0.022258655996186136,1148.6413041216802,0.011486413041216802
2026-09-15,SPY,vol_target_10pct,5,24,0.07652748255848295,0.09678183655586574,0.8367331998984019,1.098274205963961,-0.07904377780124339,0.5519817359051258,1.1764027852423944,0.01915706355123822,242.0242097675067,0.0024202420976750672
2026-09-15,SPY,vol_target_10pct,10,24,0.07393661777888158,0.0967928249080145,0.8118941064936928,1.0663294133808592,-0.07959977054746965,0.5507167433128097,1.1712883908077665,0.01915706355123822,483.50100716098973,0.004835010071609898
2026-09-15,SPY,vol_target_10pct,20,24,0.06877276836032997,0.0968214077855485,0.7621572179128756,1.0014043720986658,-0.08071306279087469,0.5490870586123991,1.1610806610578521,0.01915706355123822,964.8188424006731,0.00964818842400673
2026-09-15,SPY,ai_parameter_selector,5,24,0.05530072195098581,0.08832644545660862,0.5920780242582697,0.7052240583381167,-0.08086491262566706,0.547350002391774,1.1890754943286779,0.01220303292340362,150.1091600416432,0.0015010916004164323
2026-09-15,SPY,ai_parameter_selector,10,24,0.05378632642580546,0.08841725828803343,0.5750425904763916,0.6907366583313549,-0.08149636219275254,0.5461845574329262,1.1836174862156408,0.01220303292340362,299.98177675814213,0.0029998177675814217
2026-09-15,SPY,ai_parameter_selector,20,24,0.05076460121869638,0.08862404572824241,0.5410307613635319,0.6606684611434085,-0.08278720947609501,0.5424771203212414,1.1729573132593345,0.01220303292340362,599.0191738095992,0.005990191738095994
2026-09-15,QQQ,buy_and_hold,5,24,0.1809547725035173,0.2027254393785198,1.0156872197290803,1.4228759394054675,-0.16372598551561332,0.5546001034388436,1.2057216659453724,0.004063527326234701,50.0,0.0005000000000000002
2026-09-15,QQQ,buy_and_hold,10,24,0.18044284354132503,0.20283369334878368,1.0128963242699778,1.4189291995529139,-0.16385141433908412,0.5544327674281342,1.2051353368533062,0.004063527326234701,100.0,0.0010000000000000007
2026-09-15,QQQ,buy_and_hold,20,24,0.17941900489163684,0.2030546766965269,1.0072913321596422,1.4109793614083446,-0.16410244466273652,0.5544327674281342,1.2039632830479061,0.004063527326234701,200.0,0.0020000000000000013
2026-09-15,QQQ,momentum_60_day,5,24,0.08990181390714395,0.11667475999973724,0.5820870141061435,0.7162233126597383,-0.09360565957903315,0.5459716507544579,1.146237791183242,0.011285758588557777,136.9744007588683,0.0013697440075886834
